Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"#630 3932 University Avenue Northwest, Calgary ",1,2024,November,"$375,000","$371,000",99%,High Rise Apartment,491,1,1
"#304 125 Wolf Hollow Crescent Southeast, Calgary ",1,2024,August,"$343,000","$335,000",98%,High Rise Apartment,592,2,1
"12437 Crestmont Boulevard Southwest, Calgary ",1,2024,August,"$580,000","$665,000",115%,House,"2,266",4,2
"240 Vantage Place Northwest, Calgary ",1,2024,August,"$925,000","$925,000",100%,House,"1,946",6,3
"14 Pantego Road Northwest, Calgary ",1,2024,August,"$799,900","$800,000",100%,House,"2,224",4,3
"706 Cranbrook Walk Southeast, Calgary ",1,2024,September,"$569,900","$560,000",98%,House,"1,118",2,2
"2605 43 Street Southeast, Calgary ",1,2024,August,"$525,000","$525,000",100%,House,874,4,2
"#629 3932 University Avenue Northwest, Calgary ",1,2024,August,"$550,000","$542,000",99%,High Rise Apartment,719,2,1
"#1401 60 Skyview Ranch Road Northeast, Calgary ",1,2024,August,"$415,000","$419,800",101%,High Rise Apartment,"1,193",3,2
"66 Savanna Rise Northeast, Calgary ",1,2024,November,"$639,900","$635,000",99%,Half Duplex,"1,613",3,2
"664 Seton Circle SE Circle Southeast, Calgary ",1,2024,October,"$828,888","$810,000",98%,House,"2,103",4,3
"134 Braniff Crescent Southwest, Calgary ",1,2024,September,"$599,900","$605,000",101%,House,"1,450",6,3
"14672 Deer Run Drive Southeast, Calgary ",1,2024,August,"$449,900","$450,000",100%,Half Duplex,"1,257",3,1
"3213 4A Street Northwest, Calgary ",1,2024,August,"$1,080,000","$1,080,000",100%,House,"1,829",5,3
"28 Country Hills Gardens Northwest, Calgary ",1,2024,October,"$469,900","$448,000",95%,Half Duplex,"2,001",2,2
"9838 Hidden Valley Drive Northwest, Calgary ",1,2024,November,"$649,900","$637,500",98%,House,"1,753",4,2
"219 Silver Springs Rise Northwest, Calgary ",1,2024,August,"$600,000","$601,000",100%,House,"1,124",4,2
"#2604 211 13 Avenue Southeast, Calgary ",1,2024,August,"$329,900","$323,000",98%,High Rise Apartment,579,1,1
"134 Wentworth Park Southwest, Calgary ",1,2024,August,"$819,900","$802,000",98%,House,"1,777",4,3
"6004 5 Avenue Southeast, Calgary ",1,2024,September,"$480,000","$465,000",97%,House,939,4,2
"621 McKinnon Drive Northeast, Calgary ",1,2024,September,"$474,900","$486,000",102%,Half Duplex,"1,003",5,2
"96 Sage Bank Crescent Northwest, Calgary ",1,2024,September,"$850,000","$838,000",99%,House,"2,309",6,3
"21 Country Hills Gardens Northwest, Calgary ",1,2024,September,"$475,000","$450,000",95%,Half Duplex,"1,836",2,4
"1272 Cornerstone Way Northeast, Calgary ",1,2024,September,"$569,900","$578,000",101%,Half Duplex,"1,393",3,2
"80 Deer Ridge Close Southeast, Calgary ",1,2024,September,"$349,999","$345,000",99%,House,"1,089",2,2
"815 72 Avenue Northwest, Calgary ",1,2024,August,"$774,900","$781,500",101%,House,"1,253",5,2
"212 Aspen Summit Heath Southwest, Calgary ",1,2024,August,"$2,000,000","$2,000,000",100%,House,"3,504",5,4
"#2205 350 Livingston Common Northeast, Calgary ",1,2024,August,"$279,900","$275,000",98%,High Rise Apartment,514,1,1
"543 Regal Park Northeast, Calgary ",1,2024,December,"$355,000","$351,000",99%,Not Applicable,849,2,1
"10 Glenmore Green Southwest, Calgary ",1,2024,December,"$925,000","$890,000",96%,Half Duplex,"1,570",4,3
"#106 562 Seton Circle Southeast, Calgary ",1,2024,December,"$314,000","$308,000",98%,Not Applicable,562,1,1
"158 Skyview Ranch Boulevard Northeast, Calgary ",1,2024,August,"$575,000","$592,600",103%,House,"1,535",3,2
"402 Templeview Drive Northeast, Calgary ",1,2024,November,"$489,900","$480,000",98%,Half Duplex,906,4,2
"105 Straddock Crescent Southwest, Calgary ",1,2024,August,"$868,000","$855,000",99%,House,"2,066",3,2
"#410 836 Royal Avenue Southwest, Calgary ",1,2024,October,"$334,900","$325,000",97%,High Rise Apartment,586,1,1
"#1212 1818 Simcoe Boulevard Southwest, Calgary ",1,2024,August,"$375,000","$375,000",100%,High Rise Apartment,"1,227",2,2
"1013 Evanston Square Northwest, Calgary ",1,2024,November,"$419,900","$397,000",95%,Not Applicable,"1,103",2,
"168 Prestwick Villas Southeast, Calgary ",1,2024,September,"$599,900","$590,000",98%,House,"1,035",4,2
"34 San Fernando Crescent Northeast, Calgary ",1,2024,September,"$569,900","$560,000",98%,House,"1,333",4,2
"905 Auburn Bay Square Southeast, Calgary ",1,2024,August,"$510,000","$495,000",97%,Not Applicable,"1,259",2,2
"92 Arbour Ridge Park Northwest, Calgary ",1,2024,August,"$664,000","$645,000",97%,House,"1,547",4,3
"1804 32 Avenue Southwest, Calgary ",1,2024,September,"$1,449,999","$1,425,000",98%,House,"2,596",4,3
"295 Masters Row Southeast, Calgary ",1,2024,September,"$699,900","$677,500",97%,House,"1,642",4,3
"#503 1334 13 Avenue Southwest, Calgary ",1,2024,August,"$315,000","$312,000",99%,High Rise Apartment,939,2,1
"185 COUNTRY VILLAGE Manor Northeast, Calgary ",1,2024,August,"$435,000","$425,000",98%,Not Applicable,"1,254",3,2
"234 Mahogany Place Southeast, Calgary ",1,2024,November,"$1,099,900","$1,085,000",99%,House,"3,123",3,2
"#106 2419 Erlton Road Southwest, Calgary ",1,2024,September,"$399,500","$386,500",97%,High Rise Apartment,"1,070",2,2
"12 Country Hills Mews Northwest, Calgary ",1,2024,September,"$584,999","$585,000",100%,House,"1,452",3,2
"272 Coventry Close Northeast, Calgary ",1,2024,August,"$545,000","$532,000",98%,House,"1,000",2,2
"20581 Seton Way Southeast, Calgary ",1,2025,February,"$470,000","$473,000",101%,Not Applicable,"1,516",2,2
"739 Livingston Way Northeast, Calgary ",1,2024,August,"$645,000","$650,000",101%,House,"1,627",3,2
"#610 4944 Dalton Drive Northwest, Calgary ",1,2024,October,"$255,000","$251,000",98%,High Rise Apartment,800,2,1
"#607 10060 46 Street Northeast, Calgary ",1,2024,September,"$269,900","$265,000",98%,Not Applicable,454,1,1
"66 Auburn Sound Close Southeast, Calgary ",1,2024,September,"$999,000","$990,000",99%,House,"2,422",4,3
"168 Legacy Glen Place Southeast, Calgary ",1,2025,January,"$639,900","$630,000",98%,House,"1,795",3,3
"275 Dalhurst Way Northwest, Calgary ",1,2024,November,"$1,999,999","$1,850,000",93%,House,"4,272",8,5
"172 Legacy Crescent Southeast, Calgary ",1,2024,August,"$649,900","$643,000",99%,House,"1,815",3,2
"92 Eversyde Circle Southwest, Calgary ",1,2024,August,"$558,888","$550,000",98%,House,"1,000",3,2
"#806 550 Riverfront Avenue Southeast, Calgary ",1,2024,August,"$322,500","$310,000",96%,High Rise Apartment,568,1,1
"108 Auburn Meadows Crescent Southeast, Calgary ",1,2024,August,"$799,999","$830,000",104%,House,"2,165",3,2
"#5 2132 35 Avenue Southwest, Calgary ",1,2024,August,"$550,000","$552,469",100%,Not Applicable,"1,343",3,2
"#1017 8710 Horton Road Southwest, Calgary ",1,2024,August,"$349,900","$345,000",99%,High Rise Apartment,966,2,2
"230 Silverado Plains Circle Southwest, Calgary ",1,2024,September,"$665,000","$657,500",99%,House,"1,730",3,2
"70 Storybook Gardens Northwest, Calgary ",1,2024,August,"$294,500","$288,600",98%,Not Applicable,491,2,1
"1115 Mckenzie Towne Row Southeast, Calgary ",1,2024,September,"$459,900","$459,400",100%,Not Applicable,"1,443",3,2
"84 Skyview Shores Gardens Northeast, Calgary ",1,2024,August,"$739,000","$755,000",102%,House,"2,257",6,4
"#1114 1111 6 Avenue Southwest, Calgary ",1,2024,August,"$348,800","$339,000",97%,High Rise Apartment,694,2,1
"#2303 77 Spruce Place Southwest, Calgary ",1,2024,October,"$399,800","$394,000",99%,High Rise Apartment,816,2,2
"172 Falton Way Northeast, Calgary ",1,2024,December,"$549,900","$530,000",96%,Half Duplex,"1,226",4,3
"209 Elgin Estates Park Southeast, Calgary ",1,2024,October,"$950,000","$930,000",98%,House,"2,394",4,3
"39 Somerglen Way Southwest, Calgary ",1,2024,August,"$719,000","$715,000",99%,House,"2,100",4,3
"11 Edgehill Bay Northwest, Calgary ",1,2024,September,"$799,900","$783,000",98%,House,"2,280",4,2
"143 Hamptons Terrace Northwest, Calgary ",1,2024,August,"$1,289,900","$1,238,888",96%,House,"2,854",5,3
"#403 501 57 Avenue Southwest, Calgary ",1,2025,January,"$229,888","$229,888",100%,High Rise Apartment,509,1,1
"373 Crimson Ridge Place Northwest, Calgary ",1,2024,September,"$899,900","$880,000",98%,House,"2,033",4,4
"525 Marine Drive Southeast, Calgary ",1,2024,October,"$759,900","$735,000",97%,Half Duplex,"1,074",3,2
"#104 145 Point Drive Northwest, Calgary ",1,2024,August,"$269,000","$250,000",93%,High Rise Apartment,"1,032",2,1
"1320 20A Street Northwest, Calgary ",1,2024,August,"$1,075,000","$950,000",88%,House,995,2,2
"819 Lake Placid Drive Southeast, Calgary ",1,2024,December,"$4,450,000","$4,175,000",94%,House,"4,757",5,4
"# 1215 Lake Fraser Court Southeast, Calgary ",1,2024,August,"$649,900","$650,000",100%,High Rise Apartment,"1,301",2,2
"6515 68 Street Northeast, Calgary ",1,2024,September,"$549,900","$540,000",98%,House,"1,189",4,2
"288 Everglen Way Southwest, Calgary ",1,2024,August,"$674,989","$670,000",99%,House,"1,689",4,2
"238 Maunsell Close Northeast, Calgary ",1,2024,November,"$549,900","$545,000",99%,Half Duplex,955,4,2
"123 Silvercreek Drive Northwest, Calgary ",1,2024,August,"$799,000","$745,000",93%,House,"1,326",5,2
"343 Covecreek Circle Northeast, Calgary ",1,2024,November,"$425,000","$415,000",98%,Not Applicable,"1,340",2,2
"10728 Mapleford Road Southeast, Calgary ",1,2024,August,"$680,000","$670,000",99%,House,"1,364",4,3
"1564 93 Street Southwest, Calgary ",1,2024,August,"$489,900","$505,000",103%,Not Applicable,"1,224",3,3
"11 Beaupre Crescent Northwest, Calgary ",1,2024,December,"$599,900","$575,000",96%,House,905,3,1
"199 Shawbrooke Manor Southwest, Calgary ",1,2024,August,"$729,000","$700,000",96%,House,"2,199",5,2
"89 Saddlestone Place Northeast, Calgary ",1,2025,January,"$799,900","$790,000",99%,House,"2,120",5,4
"285 Herron Mews Northeast, Calgary ",1,2024,August,"$819,900","$819,900",100%,House,"2,270",4,3
"952 Kerfoot Crescent Southwest, Calgary ",1,2024,September,"$975,000","$925,000",95%,House,"1,887",6,2
"#3411 95 Burma Star Road Southwest, Calgary ",1,2024,August,"$389,900","$385,000",99%,High Rise Apartment,711,1,1
"4015 15 Street Southwest, Calgary ",1,2024,September,"$1,495,000","$1,443,000",97%,House,"1,388",4,2
"#5216 200 Seton Circle Southeast, Calgary ",1,2024,October,"$399,000","$384,000",96%,High Rise Apartment,913,2,2
"#712 123 4 Street Northeast, Calgary ",1,2024,August,"$299,900","$285,000",95%,High Rise Apartment,424,1,1
"190 Yorkville Green Southwest, Calgary ",1,2024,August,"$639,900","$630,000",98%,Half Duplex,"1,649",4,3
"273 Rangeview Way Southeast, Calgary ",1,2024,August,"$629,900","$626,000",99%,House,"1,652",3,2
"#2009 225 11 Avenue Southeast, Calgary ",1,2024,October,"$339,900","$335,000",99%,High Rise Apartment,542,1,1
"315 Hawkland Circle Northwest, Calgary ",1,2024,September,"$815,000","$790,000",97%,House,"2,341",5,4
"#2307 7451 Springbank Boulevard Southwest, Calgary ",1,2024,August,"$459,900","$447,500",97%,High Rise Apartment,"1,110",2,2
"1839 NA'A Drive Southwest, Calgary ",1,2024,August,"$630,000","$622,500",99%,Not Applicable,"1,780",3,2
"113 Country Village Lane Northeast, Calgary ",1,2024,October,"$419,000","$408,000",97%,Not Applicable,"1,309",3,3
"24 Hotchkiss Southeast, Calgary ",1,2024,August,"$665,000","$650,000",98%,House,"1,424",4,3
"1008 Wentworth Villas Southwest, Calgary ",1,2024,August,"$569,900","$560,000",98%,Not Applicable,"1,667",2,2
"226 Hawkside Mews Northwest, Calgary ",1,2024,September,"$749,900","$742,000",99%,House,"1,673",4,3
"7336 Silver Mead Road Northwest, Calgary ",1,2024,August,"$725,000","$717,500",99%,House,"1,172",4,2
"#104 60 38A Avenue Southwest, Calgary ",1,2024,August,"$229,800","$229,800",100%,High Rise Apartment,565,1,1
"#210 10060 46 Street Northeast, Calgary ",1,2024,August,"$380,000","$385,555",101%,Not Applicable,983,2,2
"#1313 350 Livingston Common Northeast, Calgary ",1,2024,November,"$306,900","$295,500",96%,High Rise Apartment,673,2,2
"220 Sierra Morena Place Southwest, Calgary ",1,2024,September,"$829,000","$810,000",98%,House,"1,591",4,2
"#2317 130 Panatella Street Northwest, Calgary ",1,2024,October,"$239,900","$236,500",99%,High Rise Apartment,582,1,1
"14216 Evergreen Street Southwest, Calgary ",1,2024,August,"$719,500","$692,500",96%,House,"1,978",4,3
"351 Copperfield Boulevard Southeast, Calgary ",1,2024,August,"$410,000","$402,000",98%,Not Applicable,"1,229",2,1
"#87 99 Christie Point Southwest, Calgary ",1,2024,October,"$650,000","$625,000",96%,Half Duplex,"1,285",2,2
"2456 Crestwood Road Southeast, Calgary ",1,2024,November,"$539,900","$520,000",96%,House,720,2,2
"#310 455 1 Avenue Northeast, Calgary ",1,2024,September,"$390,000","$380,000",97%,High Rise Apartment,653,2,2
"5220 20 Avenue Northwest, Calgary ",1,2024,September,"$899,900","$865,000",96%,House,954,3,2
"8823 CITYSCAPE Drive Northeast, Calgary ",1,2024,August,"$574,900","$566,000",98%,Not Applicable,"1,558",3,2
"68 Falsby Way Northeast, Calgary ",1,2024,August,"$619,900","$610,000",98%,House,"1,010",4,2
"514 37 Street Northwest, Calgary ",1,2024,October,"$879,900","$860,000",98%,House,"1,632",4,3
"269 Rangeview Way Southeast, Calgary ",1,2024,August,"$619,900","$617,000",100%,House,"1,672",3,2
"48 Skyview Springs Circle Northeast, Calgary ",1,2024,August,"$429,900","$425,000",99%,Not Applicable,"1,123",2,2
"94 Woodridge Close Southwest, Calgary ",1,2024,August,"$775,000","$765,000",99%,House,"2,161",3,2
"#2110 755 Copperpond Boulevard Southeast, Calgary ",1,2024,August,"$359,900","$358,000",99%,High Rise Apartment,801,3,2
"125 Cornerbrook Road Northeast, Calgary ",1,2024,August,"$699,990","$732,000",105%,House,"1,920",6,4
"#113 7180 80 Avenue Northeast, Calgary ",1,2024,August,"$279,900","$268,000",96%,High Rise Apartment,710,2,1
"14 Carrington Crescent Northwest, Calgary ",1,2024,August,"$709,000","$700,000",99%,House,"1,827",3,2
"#2301 77 Spruce Place Southwest, Calgary ",1,2024,August,"$435,000","$427,500",98%,High Rise Apartment,971,2,2
"43 Cityside Green Northeast, Calgary ",1,2024,September,"$684,999","$670,000",98%,House,"1,714",3,2
"#3313 95 Burma Star Road Southwest, Calgary ",1,2024,September,"$385,000","$383,500",100%,High Rise Apartment,714,1,1
"28 Kincora Street NW, Calgary ",1,2024,August,"$770,000","$752,500",98%,House,"2,166",3,2
"#210 8505 Broadcast Avenue Southwest, Calgary ",1,2024,November,"$574,900","$562,500",98%,High Rise Apartment,"1,031",2,2
"#4414 522 Cranford Drive Southeast, Calgary ",1,2024,August,"$405,900","$405,900",100%,High Rise Apartment,939,2,2
"92 Strathearn Rise Southwest, Calgary ",1,2024,August,"$690,000","$695,000",101%,House,"1,532",4,3
"45 Corner Glen Way Northeast, Calgary ",1,2024,September,"$649,900","$641,000",99%,House,"1,667",3,2
"208 Tache Avenue Northwest, Calgary ",1,2024,October,"$575,000","$562,000",98%,House,960,3,
"#114 777 3 Avenue Southwest, Calgary ",1,2024,November,"$399,900","$380,000",95%,High Rise Apartment,"1,017",2,2
"2629 3 Avenue Northwest, Calgary ",1,2024,August,"$899,900","$900,000",100%,House,845,2,1
"#2210 1188 3 Street Southeast, Calgary ",1,2024,September,"$352,000","$347,500",99%,High Rise Apartment,502,1,1
"#1001 5204 Dalton Drive Northwest, Calgary ",1,2024,September,"$250,000","$248,000",99%,High Rise Apartment,834,2,1
"2609 Canmore Road Northwest, Calgary ",1,2024,November,"$629,000","$622,500",99%,Half Duplex,979,3,2
"84 Deerfield Circle Southeast, Calgary ",1,2024,August,"$549,900","$577,250",105%,House,"1,037",3,2
"10829 Sacramento Drive Southwest, Calgary ",1,2024,August,"$579,900","$590,000",102%,Half Duplex,993,4,2
"6 Coach Manor Rise Southwest, Calgary ",1,2024,September,"$574,500","$574,500",100%,Not Applicable,"2,078",3,2
"268 Saddlebrook Pointe Northeast, Calgary ",1,2025,January,"$274,900","$265,000",96%,Not Applicable,444,2,1
"2823 18 Street Northwest, Calgary ",1,2024,August,"$850,000","$900,000",106%,House,"1,056",3,2
"#1512 4641 128 Avenue Northeast, Calgary ",1,2024,September,"$349,900","$348,000",99%,High Rise Apartment,838,3,2
"29 Sandpiper Link Northwest, Calgary ",1,2025,January,"$435,000","$434,000",100%,Not Applicable,"1,173",3,1
"#2206 350 Livingston Common Northeast, Calgary ",1,2024,December,"$349,499","$318,000",91%,High Rise Apartment,804,2,2
"420 Cranford Mews Southeast, Calgary ",1,2024,September,"$412,000","$405,000",98%,Not Applicable,"1,135",2,2
"#103 515 57 Avenue Southwest, Calgary ",1,2024,September,"$224,900","$223,000",99%,High Rise Apartment,615,1,1
"#1232 8810 Royal Birch Boulevard Northwest, Calgary ",1,2024,September,"$339,000","$330,000",97%,High Rise Apartment,975,2,2
"471 Cedarpark Drive Southwest, Calgary ",1,2024,August,"$550,000","$590,000",107%,House,"1,306",6,3
"#249 20 Midpark Crescent Southeast, Calgary ",1,2024,October,"$695,000","$670,000",96%,Half Duplex,"1,793",2,2
"7087 California Boulevard Northeast, Calgary ",1,2024,August,"$699,000","$703,000",101%,House,"2,079",5,3
"326 Garry Crescent Northeast, Calgary ",1,2024,August,"$359,900","$385,000",107%,Not Applicable,"1,287",4,1
"17 Walgrove Place, Calgary ",1,2024,November,"$754,900","$737,850",98%,House,"2,072",3,2
"344 Manora Road Northeast, Calgary ",1,2024,October,"$569,900","$530,000",93%,House,"1,075",5,2
"#3 201 Grier Terrace Northeast, Calgary ",1,2024,September,"$300,000","$300,000",100%,Not Applicable,928,2,1
"3007 Oakmoor Drive Southwest, Calgary ",1,2024,October,"$699,900","$645,000",92%,House,"1,160",4,2
"10582 Cityscape Drive Northeast, Calgary ",1,2024,December,"$499,900","$483,000",97%,Not Applicable,"1,272",2,2
"113 Kincora Glen Rise, Calgary ",1,2024,September,"$799,998","$790,000",99%,House,"2,323",3,2
"3807 1A Street Southwest, Calgary ",1,2024,August,"$900,000","$895,000",99%,House,"1,853",3,2
"2439 Fir Drive Southeast, Calgary ",1,2024,September,"$499,900","$475,000",95%,House,"1,054",2,1
"#904 4944 Dalton Drive Northwest, Calgary ",1,2024,October,"$258,852","$250,000",97%,High Rise Apartment,802,2,1
"314 Pinemont Gate, Calgary ",1,2024,September,"$324,900","$317,500",98%,Not Applicable,505,2,1
"83 Coachway Gardens Southwest, Calgary ",1,2024,September,"$420,000","$420,000",100%,Not Applicable,"1,189",3,2
"#3316 175 Silverado Boulevard Southwest, Calgary ",1,2024,October,"$354,900","$347,500",98%,High Rise Apartment,798,2,2
"2034 49 Avenue Southwest, Calgary ",1,2024,August,"$875,000","$1,000,000",114%,Vacant Land,0,0,0
"11005 5 Street Southwest, Calgary ",1,2024,September,"$429,000","$425,000",99%,Half Duplex,505,2,1
"#3217 181 Skyview Ranch Manor Northeast, Calgary ",1,2024,September,"$329,000","$322,000",98%,High Rise Apartment,903,2,1
"38 Whitman Close Northeast, Calgary ",1,2024,August,"$449,900","$603,100",134%,Half Duplex,899,4,2
"22 Bridleridge Road Southwest, Calgary ",1,2024,September,"$579,900","$565,000",97%,House,"1,361",3,3
